sample_id,data_type,treatment_type,uvb_dose,nir_power,irradiation_time,photothermal_temp,nanoparticle_size,photo_response_efficiency,drug_loading,targeting_efficiency,drug_release_efficiency,nfkb_inhibition,p65_expression,tnf_alpha,il17,plaque_reduction,skin_damage,burn_rate,ldh_release,pathology_score,efficacy_score
SAMPLE_012,PATHWAY,1,0,1.6,18,43.42054821596173,100,0.9,3,0.8727344345256165,64.0,58.55625049254774,38.74672666408188,87.56110551768612,66.07090061533101,53.35002516668767,2.956121798533965,0.9463257855081821,15.869336611126105,2.408709172795246,44.171285903987375
SAMPLE_013,NANO,0,10,0.0,0,0.0,100,0.7,8,0.8177867036610718,0.0,47.17713774586109,51.45630156692883,114.99357022394001,84.06859595930213,52.54328981039985,2.2748330119914715,0.0867981549961171,13.137606253242073,1.885494674366347,39.43320442010609
SAMPLE_014,EFFICACY,0,40,0.0,0,0.0,120,0.7,10,0.8232511569169687,0.0,78.0516788032971,34.30605016950595,62.349374875563846,66.39808270496351,70.0022087632997,5.461095214378259,1.6234658854697828,17.510533223165577,1.0762107977786928,58.12933598376307
SAMPLE_015,EFFICACY,1,0,0.3,3,38.94198006447002,120,0.5,10,0.7701930906102139,43.0,46.150912731608734,55.41731166213007,102.60776337957466,89.0019963582949,45.428236477241896,2.852049794903608,0.44885438999107075,8.920012888335167,2.594579000216469,36.06124972455954
SAMPLE_016,UVB,0,20,0.0,0,0.0,100,0.7,10,0.6211248392548632,0.0,56.28118695078421,43.431733687618944,82.91680434881093,64.52947000704391,50.01490295513216,1.1745001302798441,0.5616697736702541,7.067141892112867,1.5983108677401119,42.283535936310585
SAMPLE_017,PATHWAY,1,0,0.8,3,40.867717077498114,120,0.5,10,0.8278355997152345,48.0,56.9494253133341,49.626421828260916,93.12363841407222,85.0875103731094,59.11066824052102,2.4322961581764053,0.0,16.29758465274142,1.4444007191088675,45.93757818990677
SAMPLE_018,PATHWAY,0,50,0.0,0,0.0,80,0.7,5,0.8581213854935026,0.0,90.0,21.747881725313338,63.544195851196626,32.95749929237955,78.83196000986209,1.9890555327130377,0.0,15.745238512924036,1.9801088786671626,67.13497289740224
SAMPLE_019,UVB,1,0,1.6,18,42.692805524838874,60,0.65,10,0.8786487760449879,59.0,56.7551308569875,47.07813228327776,109.17468708560713,71.12436252232959,50.38961750767328,1.8217230860358624,0.6251178533592977,10.23422243826012,2.8963734131042598,42.49355472865714
SAMPLE_020,UVB,0,10,0.0,0,0.0,120,0.7,3,0.6839801690837828,0.0,54.03068183048208,47.83403902447222,106.2939707750294,64.62049480798223,49.997238733957985,3.366911149186623,0.6700711776970156,14.573921757825323,2.3598106256316904,40.937785995938704
SAMPLE_021,NIR,1,0,2.0,18,43.39602408050225,120,0.65,5,0.822903968779208,63.0,57.120230102080555,55.20811194388369,91.82858485045531,58.34412334587435,47.771173853281134,4.043067651859084,1.2138271011550632,18.641073519160557,3.5782126220509394,41.147948051772865
SAMPLE_022,NANO,1,0,0.8,3,40.81387483725081,120,0.9,10,0.9350575603562393,56.0,44.41049207004537,60.385419215157896,118.39491554672927,79.55053692179305,57.20288345010848,2.886848512765971,1.1167679323428321,15.781822695940734,1.8053684138362334,40.06798050550835
SAMPLE_023,NIR,0,20,0.0,0,0.0,60,0.7,8,0.7854761653013679,0.0,49.5869596994844,55.2296289824687,112.71515383695939,70.00063734283272,57.52678920287365,1.2187996647624508,0.0,6.57047620708165,2.7868963740158414,42.60173962799073
SAMPLE_024,EFFICACY,1,0,1.6,3,44.478305509822896,60,0.5,3,0.8369929708120218,56.0,50.90212450056195,58.010479126122796,115.20607859336306,83.50198381576222,48.702460787072035,1.852276517040671,0.0001010487401523763,8.831599307990917,2.960173955358471,39.471378811645465
SAMPLE_025,EFFICACY,0,10,0.0,0,0.0,80,0.7,10,0.8479372398323225,0.0,47.64945105563643,60.09127917711177,99.247881378429,84.47376997539838,47.938955361543435,2.1969959649927184,0.7600525103992133,9.981514524827164,1.88272586251942,37.795963373873406
SAMPLE_026,EFFICACY,1,0,0.3,13,39.16931765425254,60,0.5,5,0.9435620521336026,43.0,47.99807326549821,57.10289866849706,118.75485923118399,88.71341574181865,51.27916512542831,2.130572156943967,0.3864505101872584,8.678145501994777,1.6452147809213122,39.28478092498182
SAMPLE_027,NANO,1,0,2.0,3,44.07900901424406,80,0.9,3,0.9368121443459646,68.0,59.92622311499025,45.26670654669164,87.93930536789128,74.54628203279182,63.332514953741914,3.3576596232020193,0.7201971625567662,12.08903021868836,2.628453111818329,48.63196330285247
SAMPLE_028,EFFICACY,1,0,0.3,13,39.371641954448066,60,0.8,3,0.7593766178231174,49.0,45.102967273835716,57.975596872718256,80.3050991053788,84.37692976298239,42.84124170225769,3.4338166333327287,1.064971322259258,17.268458512715117,3.0947516087508977,34.49092026377082
SAMPLE_029,EFFICACY,1,0,0.3,3,38.95435057793857,80,0.8,8,0.9489578437573426,49.0,43.711054674554774,59.485809124954166,121.54724489795353,87.96643159713196,47.274117117894654,1.1994382119680393,0.0,7.399529345016073,1.5743462819503637,36.15418107458617
SAMPLE_030,UVB,1,0,1.6,3,42.27424497831924,60,0.9,10,0.8133102117072077,64.0,66.11099050973704,31.848531989115774,68.96299584610604,61.940811597804384,57.64881952160766,4.084684964605621,1.5755269660628959,16.989456005931938,2.0807534660236637,48.68698701961676
SAMPLE_031,NANO,1,0,0.3,13,38.61777881101279,60,0.65,8,0.7982473622447147,46.0,48.034667648040866,57.894975880791236,114.29047446932165,83.32173061977643,46.398922128978,3.7138599863739534,1.872274657379134,16.766496921317753,2.5235420394428796,37.030663913532756
SAMPLE_032,NANO,0,30,0.0,0,0.0,60,0.7,3,0.6621682947024169,0.0,55.31522411082467,56.11278422057692,98.04426331771694,79.7030950093389,53.18095463327431,1.8739676614355802,0.5959495391357285,14.743398834070714,3.2186226895578867,43.023677965352476
SAMPLE_033,NANO,1,0,0.3,3,39.49374217584121,120,0.8,8,0.8051339446662688,49.0,52.15126029473074,54.31984059584071,99.87987518473432,78.67557359861064,59.34364849295494,3.348993390588819,0.7777996846905677,10.98851846157848,3.013469311334072,43.92816483695651
SAMPLE_034,EFFICACY,1,0,0.8,13,40.38528174136506,60,0.5,3,0.7367683702322594,48.0,54.3856217187853,52.93088079305146,92.80052721570384,63.1739570554117,52.60037733290182,2.6031193270855773,0.09514110826411115,13.779546204483282,1.3387182963990343,42.27377575525774
SAMPLE_035,NANO,1,0,1.2,8,42.3473680316118,120,0.9,10,0.7454700210997862,60.0,54.43723076787583,48.49030488058301,116.1136953183389,73.89533532543005,50.42892110727217,1.8243286520313975,1.0699549921132245,10.001266339792839,2.4401719901222254,41.58159501965292
SAMPLE_036,UVB,1,0,2.0,3,45.96472513291639,120,0.65,5,0.7910674652620189,63.0,62.441054207886914,44.71058610103833,80.56169071218724,71.75899591956424,56.902992276278,2.279030400466777,0.29609322330618937,11.884594165395825,2.3126683745267194,47.28181251357262
SAMPLE_037,UVB,1,0,0.8,18,40.80021897040704,100,0.65,10,0.8801290153478661,51.0,48.36195242474679,52.61881011520569,106.35631748791717,86.518958513565,43.16832928572262,0.5409084116123435,0.4503598232192536,9.001924797406527,2.9532516150620465,36.5039310018653
SAMPLE_038,UVB,0,40,0.0,0,0.0,60,0.7,3,0.702878059283478,0.0,62.630983350056475,46.41031618311684,83.4586766376386,67.5103711651311,68.44280148690041,3.9628135662081103,0.18506005918104607,19.023353043093834,1.9335870582523929,51.63695122154113
SAMPLE_039,UVB,1,0,1.2,18,41.31062205286731,100,0.5,5,0.8514437048392217,52.0,53.3543086422921,49.91386602784861,94.26075768386733,73.65167386351531,48.88262053410325,1.9180897776312382,0.599687747261785,9.09236910007164,2.6910973861847567,40.511153715031895
SAMPLE_040,NANO,0,20,0.0,0,0.0,120,0.7,10,0.8752186839256595,0.0,54.12490287238261,42.940561009248796,113.82674269400701,76.10401652984453,55.306642376024676,3.031818176105263,1.1812255490215464,12.770207010424096,2.519967215495346,43.166254464141865
SAMPLE_041,EFFICACY,0,30,0.0,0,0.0,120,0.7,3,0.8208741551095464,0.0,73.33927243278575,34.048645634541316,79.32028026075858,59.62080095851273,64.69610327161367,3.064252198609023,0.5933576056816274,14.287553938459899,1.3349881537773405,54.60129984203797
SAMPLE_042,EFFICACY,0,40,0.0,0,0.0,80,0.7,3,0.80537146436395,0.0,72.10407960067062,36.962057726252986,101.79470312151263,57.481420494409804,62.19641212587655,2.5595334057307224,0.46586742836130646,12.851779792137968,1.8123407760101327,53.20829000947273
SAMPLE_043,EFFICACY,1,0,2.0,18,43.68152148934966,100,0.5,3,0.7504068300119361,60.0,60.72377191573463,53.89506774948694,94.71105961390315,79.70034988405709,45.39373039107139,2.8607784246734282,1.2706836204663954,17.127091247975475,2.5311267853579564,41.874845237787724
SAMPLE_044,NANO,1,0,2.0,8,44.326927373764164,60,0.8,8,0.8256800975231198,66.0,61.723597884764544,35.112002771866365,96.57045792707035,52.932039220125276,58.212231521401556,3.2708651938869666,0.5988638646883646,16.644938112870143,2.634569879776745,47.320158723689055
SAMPLE_045,EFFICACY,0,50,0.0,0,0.0,60,0.7,10,0.8224382733417137,0.0,88.2529588186591,16.026548977781196,71.84599079183751,45.42276068369174,74.89099969884778,3.158705125709754,0.7738481708264486,16.1343927462998,1.8989374969824078,64.6258423818608
SAMPLE_046,EFFICACY,0,40,0.0,0,0.0,120,0.7,3,0.8160109609638223,0.0,71.85686701359091,29.439891980306406,92.00216619932007,70.58332998791795,54.95302981101195,2.680964320918199,0.4641585026785056,9.683974398751015,1.9498169714534506,50.18776586565751
SAMPLE_047,PATHWAY,1,0,0.8,3,40.509394794604894,120,0.65,5,0.8528635588586619,51.0,54.40306649559477,47.887881925860796,100.40702582177236,78.26861899775723,48.6894676201303,2.671468357135996,0.7097059303425669,12.355857657296351,2.3303858956287633,40.70271997486284
SAMPLE_048,PATHWAY,0,40,0.0,0,0.0,80,0.7,8,0.8762525647852117,0.0,74.65988738536954,30.671696003430306,86.28202779933994,46.73237305398581,72.4436840285248,2.2419921014210105,0.9102570605324566,14.363653546444574,1.272807449386213,58.393030145273535
SAMPLE_049,EFFICACY,1,0,0.8,13,39.45246021271409,80,0.8,5,0.9296136812348252,54.0,50.02608043005884,56.36243550974078,100.80047916439148,78.45184372484617,51.580519017119556,1.0057295731542475,0.18625160684193526,9.40960144908958,3.345452096616695,40.44149386424051
SAMPLE_050,UVB,0,50,0.0,0,0.0,60,0.7,8,0.8926623947048269,0.0,90.0,13.698708630269401,82.76651626398838,34.96557911556598,74.54926473477373,3.6296494849723704,0.5299222673082359,13.163541247837152,1.0,65.09377599691501
SAMPLE_051,NANO,1,0,2.0,3,42.34926428055144,60,0.5,5,0.9091412033230832,60.0,64.8037690457843,39.96316988839238,87.54437182217136,82.70114162706147,51.2088690175568,5.296032708335277,1.4030893795026873,18.07307473557019,2.050648205326722,45.345848683669395
SAMPLE_052,UVB,1,0,1.6,3,42.54318297207426,100,0.8,10,0.9099472148641425,62.0,63.097146327117564,40.58996697419532,70.67761737090491,72.25018975652301,57.986144478317705,0.9891494695942171,0.5414321214922242,5.523192790998761,2.457191991170309,48.235486428255264
SAMPLE_053,EFFICACY,0,30,0.0,0,0.0,120,0.7,10,0.883322917673182,0.0,63.03756676035596,47.11578770832796,76.38712072531062,64.74245655249312,56.53692869997749,3.6631531021067048,0.26405634459781124,19.51883317484555,1.5524029495265643,47.09716756371204
SAMPLE_054,NIR,0,40,0.0,0,0.0,120,0.7,3,0.7035576434643827,0.0,69.43626117204768,34.782769511112335,74.29063341117927,74.46420283356045,59.82689070882669,2.872396642839358,1.0612870500278428,13.541920523668376,2.560306405566926,51.13078142378188
SAMPLE_055,EFFICACY,1,0,0.3,8,38.10569742483648,100,0.5,5,0.8854217360571663,43.0,53.18307209386909,49.436436713971005,102.99082600333415,67.85218235369186,46.68736952432206,1.852605280112158,0.16662922133249108,10.949506350531838,2.176445134976381,39.57765559125403
SAMPLE_056,NIR,0,10,0.0,0,0.0,60,0.7,3,0.7492394681939671,0.0,40.93936304549155,58.571844135180406,112.20267428401296,83.85478504191246,41.332571018179934,3.011376195804564,1.7361500809726573,16.062868717449952,2.0129343334251804,32.30649838630769
SAMPLE_057,NANO,1,0,0.8,18,39.120423033264295,80,0.8,3,0.7206996669812815,54.0,46.062540131364614,54.1248249374505,109.74767996729524,70.95784596109208,43.6453288417335,3.541311919700135,0.9985456506046546,16.734226336522646,1.940340137625708,35.17488520529922
SAMPLE_058,UVB,1,0,1.2,13,41.47610602125944,120,0.8,3,0.8240915618003091,58.0,48.64177109568692,54.548144652001206,111.22945090560017,78.26919925465373,50.397664785474745,2.479845418728059,1.1279452604657028,15.642012710468258,2.0816410428389878,39.119805268719055
SAMPLE_059,NANO,0,40,0.0,0,0.0,120,0.7,8,0.6816435411689888,0.0,73.02936356973768,38.35706537580393,59.34196714155192,70.7295907651412,57.22087869615558,2.173754780991324,0.9614574141523633,14.093801569783174,2.670060990649077,51.66534595015904
SAMPLE_060,EFFICACY,1,0,0.3,8,39.04493741478118,60,0.9,8,0.8732938028642312,51.0,45.97006793016763,54.53061689507512,105.06470972296422,78.94869216767894,37.81960639304717,1.79550093419996,0.846504654842258,9.994497540115217,2.627115925299033,33.15676954244593
SAMPLE_061,NIR,1,0,1.6,13,42.89612077694098,100,0.65,8,0.9072288685376693,59.0,56.85089884517983,47.52905477310417,88.80413888049702,72.04590393610702,55.22120816527646,1.9212513783365226,0.6438677739108011,11.588894928297812,1.2740972935790986,44.44459252851521
SAMPLE_062,NANO,1,0,0.3,3,38.68189610162606,80,0.5,10,0.8067042641637161,43.0,50.68343011487397,51.79847064611156,101.87818446946427,79.29420302578991,53.614577315970564,1.9030866289282422,1.2755997087712627,15.307056134023227,2.1378518539816422,41.33858564655216
SAMPLE_063,EFFICACY,1,0,0.3,8,38.02736937262899,80,0.5,8,0.8053392505692675,43.0,49.87463176792141,54.939406971936826,97.1217633511923,73.66199925238028,44.89419959533536,1.0240880421718133,0.4243337789198044,11.173265112143593,2.2561129998638365,37.70271493686835
SAMPLE_064,PATHWAY,0,20,0.0,0,0.0,60,0.7,3,0.6776947954805441,0.0,54.75850290283058,50.988941819723664,95.74456232472264,78.14116358819872,57.49559062477932,2.1029004325966767,0.3926812792943194,12.503313380720645,2.0611147057134787,44.48105732452463
SAMPLE_065,NANO,0,20,0.0,0,0.0,100,0.7,10,0.7050375777500191,0.0,51.01948805235725,50.55640707122957,113.1855544275413,74.61843920811839,46.4499149658932,2.671415556386404,0.44961463545269803,17.72899939922463,3.146423402488662,38.4534780960229
SAMPLE_066,PATHWAY,1,0,0.8,13,39.79537222139827,60,0.9,8,0.7682398437140787,56.0,51.87619740827226,46.41482619248232,103.19114921659612,76.89333848668392,46.59553947245198,3.1748502846961304,0.5869900654378795,14.458296908340797,3.567501958136295,38.75372469535048
SAMPLE_067,EFFICACY,0,40,0.0,0,0.0,120,0.7,3,0.8683439792904202,0.0,74.55807837017356,42.98216718777838,85.74665583418474,61.56449310042416,69.04883195105658,2.9446674443183896,1.175364325958499,13.11541815138105,1.8428858177933254,56.85383063962838
SAMPLE_068,NIR,1,0,1.2,18,42.708703580582906,60,0.5,8,0.7596725078252543,52.0,51.0869221943342,53.25941324957374,104.8567658948975,87.45210967032193,50.17838644870851,2.5296279301636533,0.9680146564420962,13.389707848967834,2.378223853779908,40.000197871184355
SAMPLE_069,NANO,0,30,0.0,0,0.0,60,0.7,3,0.7895440581050005,0.0,63.964794046417055,43.678603776778424,93.56824864435944,58.02617746732375,65.8545451554373,2.51363042442851,1.5428157672102902,12.350300208511626,1.8467835051133052,51.42500959585605
SAMPLE_070,NIR,1,0,2.0,3,43.81362760563691,80,0.9,10,0.8719714305752033,68.0,61.18133670677181,55.03880678231593,85.18909050354111,72.45204478952517,47.65900751915955,3.46501496106323,0.6695673500872752,11.98487154470224,3.3085018412744214,42.8431346981599
SAMPLE_071,EFFICACY,0,10,0.0,0,0.0,80,0.7,8,0.7465929571213997,0.0,47.39358282227236,56.45707385251785,113.4071071809493,68.47718532667209,46.40368530988211,0.8701306217591855,0.0,9.027104759876263,2.8017160913914942,37.34488112850995
SAMPLE_072,NIR,1,0,1.2,13,41.03592136926327,60,0.65,10,0.707825578436879,55.0,56.82336097733499,43.00226007174364,95.60971566394866,71.79180443462973,61.840063969032514,1.1834141957461528,0.0,11.437771795384977,1.8669212123520897,47.22868713939777
SAMPLE_073,UVB,1,0,0.3,3,40.01729583158813,60,0.5,10,0.892730461161013,43.0,48.539716103288576,58.77127834213777,107.53542716820647,73.6132768970247,50.740058476518044,3.3242017674875335,0.28419776391161156,16.184935483685514,1.7196116848239296,39.04706947842514
SAMPLE_074,NANO,0,50,0.0,0,0.0,60,0.7,5,0.8392677301911564,0.0,85.7784690162012,26.72837867867308,59.759696651651005,36.26089893947479,69.20554981347533,0.07612067337104333,0.23556498290379538,3.2944097338547036,1.5158668312552435,61.9783833971964
SAMPLE_075,UVB,0,10,0.0,0,0.0,80,0.7,10,0.605510291082162,0.0,35.665009565205764,68.35942008478362,113.43803416671898,100.93530634414888,38.095469497837776,3.1231412046872267,0.7013882752548183,16.51967216449626,3.4112845757423,28.879563384279972
SAMPLE_076,NANO,1,0,0.8,13,39.42123335213874,120,0.5,10,0.8591075623859091,48.0,58.44792049653948,52.841921462038336,95.1313367903782,76.38776881383784,58.475977699710114,1.62053672592993,1.5440388787373065,9.451100918561616,3.1541435694267252,46.445451933313855
SAMPLE_077,PATHWAY,1,0,1.2,13,42.772239246758396,60,0.9,5,0.8096518041223846,60.0,58.20112629983881,52.89080407208109,107.47240371975528,71.05267100371736,65.73895827602698,0.7424172141382661,0.5083221245254609,7.977754153652235,1.4315552504308178,49.427550387518664
SAMPLE_078,EFFICACY,0,20,0.0,0,0.0,100,0.7,5,0.6996943876065327,0.0,53.08921828059238,50.932820860350134,92.01378697412453,102.28101750049372,50.975524464800266,1.4403811589516904,0.0,10.119589722065628,2.7748217466113574,41.33782086636672
SAMPLE_079,PATHWAY,1,0,1.6,3,45.904867428466716,120,0.9,10,0.891930972016695,64.0,60.58961054656931,37.3045891053777,115.34610449201931,74.82605878069602,55.93951175391213,2.0268348177868027,0.3216662330617779,12.681500936892354,2.2926617145177355,46.206281956635216
SAMPLE_080,NIR,0,50,0.0,0,0.0,80,0.7,10,0.8507994191343629,0.0,88.00050918265933,28.02109965416832,54.82661131777989,62.85550041151074,65.09821215015042,1.1144149135173114,0.496224537858166,7.7602647825649544,1.0,61.016605550420444
SAMPLE_081,NANO,1,0,0.3,18,38.84957714827851,80,0.8,5,0.8630308113826094,49.0,43.80419861803429,57.813081269238126,89.93362423607832,98.69076494808766,53.97057697119079,0.668715371416718,0.1254046841940989,8.997243284974711,2.005819543894445,38.97616716140669
SAMPLE_082,PATHWAY,1,0,0.3,3,36.94781477859655,60,0.9,10,0.8542862466510075,51.0,44.14645003552846,59.82058191678485,111.06019416981363,91.45947205145751,52.60037459575148,3.289509285305348,1.5342446414115611,14.546110918776307,3.161983072994274,38.040827995450904
SAMPLE_083,NANO,0,20,0.0,0,0.0,60,0.7,8,0.6693392737282939,0.0,64.88565484362181,41.99608659232082,86.60611775982755,64.27003495794891,55.812041926122475,1.6632614597584907,0.0,11.822439728680434,2.3826421416428727,47.946426415946014
SAMPLE_084,NIR,1,0,1.2,8,40.66153208979415,100,0.9,5,0.7349128136890781,60.0,58.17707263803721,47.126413810086156,94.58861888791208,68.25263359080951,60.271680309873894,2.1360391203980784,0.6274145628015918,12.745053620252458,1.7279675530614136,46.952293355084834
SAMPLE_085,PATHWAY,1,0,0.3,18,37.82333949182233,100,0.9,3,0.8723816877578903,51.0,50.17363184376946,56.55587016671386,88.930437173284,92.9101013432394,46.24603749417729,2.3716283196761756,0.15567583203348934,13.719826723667904,2.488537672279155,38.093542071243476
SAMPLE_086,UVB,1,0,2.0,3,43.75584336470935,60,0.5,8,0.8846123023128316,60.0,65.85634867315343,44.67878659435128,96.03835621609298,57.49405854038131,62.50080955314135,3.201172742310898,0.7646390643499018,11.665359105660277,1.425378708841913,50.70262874205574
SAMPLE_087,NIR,1,0,2.0,13,43.114836501000156,60,0.9,5,0.7990431729023137,68.0,69.01024726195857,31.948343854605127,65.46248205988105,62.36351430581556,54.94042173894435,1.899026036996639,0.7257475205088263,13.235432476076175,2.6018474771275093,49.20046239296184
SAMPLE_088,NIR,1,0,2.0,8,42.610427533236404,120,0.9,5,0.8197954694074328,68.0,56.21840501217243,50.300519553201156,104.00729930792396,94.54329524097625,60.65240709985605,3.06390912005236,1.829562924373386,13.65052757683034,2.5982898514742523,46.135543020800924
SAMPLE_089,PATHWAY,1,0,2.0,18,43.24603541113332,100,0.5,10,0.9317586361990766,60.0,60.8772996925329,35.649914471296086,72.19313216551325,70.51144323161567,51.583424279765154,1.396410682784229,0.6173425377596714,12.218267173531851,2.8073703806005055,44.70500745236238
SAMPLE_090,UVB,0,40,0.0,0,0.0,80,0.7,3,0.7567443121548355,0.0,71.08211064508674,35.27439080651741,84.0532964365484,70.72583140263136,59.33870380293,1.577378584510899,0.7117154350508064,5.178310357333482,2.1568137082721055,51.85285006230452
SAMPLE_091,NIR,1,0,0.8,3,42.65045476781627,100,0.65,10,0.8027571174516761,51.0,46.52454705843486,64.36661801077729,96.54640096360606,77.03310422869853,52.389350119783124,1.9050503217079724,0.864854200777432,12.077163442607032,2.2581323731076934,39.1845488069456
SAMPLE_092,PATHWAY,0,10,0.0,0,0.0,100,0.7,10,0.8588391232629686,0.0,38.65667392761186,68.00269722820853,109.49044948361106,88.03609526004311,43.41306171646267,1.9529979983715116,0.0,12.327482574520491,2.153264690864504,32.43729465795551
SAMPLE_093,EFFICACY,0,10,0.0,0,0.0,80,0.7,10,0.64093192576702,0.0,39.18628678898645,72.87432500555488,127.20488126545422,102.07257708142237,40.743830864851894,2.6689830791852756,0.25030528233724014,11.58435198803475,2.669526416976046,31.438250445698287
SAMPLE_094,NIR,1,0,0.8,18,40.20246477430303,60,0.9,8,0.8600420559570414,56.0,54.52516513304067,49.98194403445403,79.90867515899129,67.61760027679549,56.37997497613181,0.8427447691732202,1.0891096241708178,8.366272326251751,1.828495323314205,44.193507089834355
SAMPLE_095,EFFICACY,1,0,1.6,3,42.74423092234229,60,0.5,8,0.8887094549852119,56.0,57.09265482775146,50.534670508963345,81.00972975492753,84.31900127132778,52.755123090463954,2.3799811006555713,0.3373452180273926,13.718574525675914,2.0379125519523673,43.463114947155056
SAMPLE_096,NIR,0,10,0.0,0,0.0,60,0.7,10,0.7520515295461447,0.0,45.12713938745206,59.8215065723253,101.96479981110757,80.63570380148998,41.29253528079095,0.5621526740711296,0.5226903631496771,4.990260623534925,2.1348635871095762,34.45543933248298
SAMPLE_097,EFFICACY,1,0,1.6,8,44.48969041335872,100,0.65,8,0.8965689891892736,59.0,66.27214565564664,44.95045132485687,83.98907865975062,47.23394014840822,64.19552837846928,0.10602365996641439,0.0,5.852855608043049,1.951072484174543,52.16586488165309
SAMPLE_098,EFFICACY,1,0,1.6,8,42.365889820504016,60,0.8,3,0.70572345624403,62.0,56.824882267106645,61.181994138892435,94.04826747297899,78.9136270324852,54.711080724837295,3.1094618174298554,0.7827684030327109,13.02755938286958,2.5292925302108564,43.99249283329161
SAMPLE_099,PATHWAY,1,0,0.3,8,39.85079630033615,60,0.5,3,0.7304404777813187,43.0,33.14628766937442,70.49071317161362,115.77333533273307,92.93264309302144,37.827410323205704,2.3766951349460412,0.0,10.251414617200615,3.036585705978907,27.914140170042845
SAMPLE_100,UVB,1,0,2.0,13,45.14398791920216,80,0.65,10,0.7911995547861324,63.0,54.2376022533476,45.032280243156755,90.13639493011547,71.79724874600771,60.74000464909608,2.4007072899583437,0.5900419416266225,10.662584114113278,1.6827722184052263,45.51090130298581
SAMPLE_101,PATHWAY,1,0,0.3,18,37.36570137361554,120,0.8,10,0.9034925673765046,49.0,50.94974099703666,62.71786844363566,104.04552885391743,97.54966375275205,45.349980398230706,1.8660395126679696,0.030119081895820687,11.358835598771742,1.6455903519711157,38.146680655573356
SAMPLE_102,EFFICACY,1,0,2.0,3,43.76732809148,80,0.5,5,0.7621450644287355,60.0,57.81408822950229,42.99678942823697,96.05556475904314,84.68998806815934,49.72117180741798,3.0793992391740033,0.9083502731743889,10.317881700934345,3.544220717937127,42.39822416693331
